username,title,year,rating,film_slug
jay,How to Blow Up a Pipeline,,8,how-to-blow-up-a-pipeline
jay,Causeway,,7,causeway
jay,The Fabelmans,,7,the-fabelmans
jay,Glass Onion,,6,glass-onion
jay,The Menu,2022.0,4,the-menu-2022
jay,Allelujah,,3,allelujah
jay,See How They Run,2022.0,5,see-how-they-run-2022
jay,Bros,,3,bros
jay,Blonde,2022.0,4,blonde-2022
jay,The Son,2022.0,4,the-son-2022
jay,Pinocchio,2022.0,3,pinocchio-2022
jay,Saint Omer,,6,saint-omer
jay,The Banshees of Inisherin,,8,the-banshees-of-inisherin
jay,Don't Worry Darling,,4,dont-worry-darling
jay,The Whale,2022.0,6,the-whale-2022
jay,Pearl,2022.0,7,pearl-2022
jay,The Wonder,,6,the-wonder
jay,Lady Chatterley's Lover,2022.0,8,lady-chatterleys-lover-2022
jay,Women Talking,,7,women-talking
jay,Bones and All,,8,bones-and-all
jay,TÁR,2022.0,10,tar-2022
jay,Blue Jean,,9,blue-jean
jay,"BARDO, False Chronicle of a Handful of Truths",,5,bardo-false-chronicle-of-a-handful-of-truths
jay,White Noise,2022.0,6,white-noise-2022
jay,Terrifier 2,,6,terrifier-2
jay,Barbarian,2022.0,6,barbarian-2022
jay,I Came By,,4,i-came-by
jay,Beast,,4,beast-2022-1
jay,Fall,2022.0,6,fall-2022
jay,Day Shift,2022.0,5,day-shift-2022
jay,Medusa Deluxe,,8,medusa-deluxe
jay,Prey,2022.0,7,prey-2022
jay,Orphan: First Kill,,7,orphan-first-kill
jay,Skinamarink,,6,skinamarink
jay,They/Them,,3,they-them-2022-1
jay,Nope,,7,nope
jay,Mrs. Harris Goes to Paris,,7,mrs-harris-goes-to-paris
jay,The Gray Man,2022.0,4,the-gray-man-2022
jay,Persuasion,2022.0,3,persuasion-2022
jay,Minions: The Rise of Gru,,6,minions-the-rise-of-gru
jay,Thor: Love and Thunder,,3,thor-love-and-thunder
jay,Spiderhead,,4,spiderhead
jay,Dragon Ball Super: Super Hero,,6,dragon-ball-super-super-hero
jay,Lightyear,2022.0,5,lightyear-2022
jay,Blood in the Water,2022.0,2,blood-in-the-water-2022
jay,Hustle,2022.0,6,hustle-2022
jay,Fire Island,2022.0,6,fire-island-2022
jay,Close,2022.0,7,close-2022
jay,Elvis,2022.0,8,elvis-2022
jay,Decision to Leave,,7,decision-to-leave
jay,Jurassic World Dominion,,3,jurassic-world-dominion
jay,Crimes of the Future,2022.0,6,crimes-of-the-future-2022
jay,Sick of Myself,,8,sick-of-myself
jay,Holy Spider,,6,holy-spider
jay,Aftersun,,9,aftersun
jay,Triangle of Sadness,,5,triangle-of-sadness
jay,Enys Men,,6,enys-men
jay,The Stranger,2022.0,7,the-stranger-2022
jay,Chip 'n Dale: Rescue Rangers,,6,chip-n-dale-rescue-rangers
jay,Men,2022.0,5,men-2022
jay,Jackass 4.5,,7,jackass-45
jay,EO,,8,eo
jay,Senior Year,2022.0,4,senior-year-2022
jay,Top Gun: Maverick,,8,top-gun-maverick
jay,Doctor Strange in the Multiverse of Madness,,5,doctor-strange-in-the-multiverse-of-madness
jay,Doctor Who: Legend of the Sea Devils,,2,doctor-who-legend-of-the-sea-devils
jay,Sonic the Hedgehog 2,,5,sonic-the-hedgehog-2
jay,Gateways Grind,,7,gateways-grind
jay,RRR,,8,rrr
jay,Morbius,,1,morbius
jay,Deep Water,2022.0,5,deep-water-2022
jay,Bodies Bodies Bodies,,6,bodies-bodies-bodies
jay,X,2022.0,6,x-2022
jay,The Unbearable Weight of Massive Talent,,4,the-unbearable-weight-of-massive-talent
jay,Everything Everywhere All at Once,,6,everything-everywhere-all-at-once
jay,Windfall,,4,windfall
jay,The Adam Project,,4,the-adam-project
jay,Turning Red,,6,turning-red
jay,Texas Chainsaw Massacre,,3,texas-chainsaw-massacre
jay,Tall Girl 2,,2,tall-girl-2
jay,Death on the Nile,2022.0,4,death-on-the-nile-2022
jay,The Tinder Swindler,,6,the-tinder-swindler
jay,Marry Me,2022.0,6,marry-me-2022
jay,Jackass Forever,,8,jackass-forever
jay,Emily the Criminal,,7,emily-the-criminal
jay,Am I OK?,,3,am-i-ok
