title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity
Black Panther,,black panther,5,284054.0,Black Panther,2018-02-13,['Ryan Coogler'],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett']","['Action', 'Adventure', 'Science Fiction']",en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",7.4,22699,9.2386
Black Panther: Wakanda Forever,,black panther wakanda forever,5,505642.0,Black Panther: Wakanda Forever,2022-11-09,['Ryan Coogler'],"['Letitia Wright', 'Tenoch Huerta Mejía', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Angela Bassett', 'Martin Freeman', 'Julia Louis-Dreyfus', 'Dominique Thorne', 'Florence Kasumba']","['Action', 'Adventure', 'Science Fiction']",en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",7.049,6941,12.657
Blade Runner 2049,2049.0,blade runner 2049,5,,,,[],[],[],,,0.0,0,0.0
Bodies Bodies Bodies,,bodies bodies bodies,5,520023.0,Bodies Bodies Bodies,2022-08-05,['Halina Reijn'],"['Amandla Stenberg', 'Maria Bakalova', ""Myha'la"", 'Rachel Sennott', 'Chase Sui Wonders', 'Pete Davidson', 'Lee Pace', ""Conner O'Malley""]","['Horror', 'Comedy', 'Mystery']",en,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",6.197,1297,3.0012
Bohemian Rhapsody,,bohemian rhapsody,5,424694.0,Bohemian Rhapsody,2018-10-24,['Bryan Singer'],"['Rami Malek', 'Gwilym Lee', 'Ben Hardy', 'Joseph Mazzello', 'Lucy Boynton', 'Aidan Gillen', 'Allen Leech', 'Tom Hollander', 'Mike Myers', 'Aaron McCusker']","['Music', 'Drama']",en,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",7.971,17221,7.52
Booksmart,,booksmart,5,505600.0,Booksmart,2019-05-24,['Olivia Wilde'],"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Jason Sudeikis', 'Lisa Kudrow', 'Will Forte', 'Victoria Ruesga', 'Mason Gooding', 'Skyler Gisondo', 'Diana Silvers']",['Comedy'],en,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",7.012,2702,2.8472
Borat Subsequent Moviefilm,,borat subsequent moviefilm,5,740985.0,Borat Subsequent Moviefilm,2020-10-23,['Jason Woliner'],"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu', 'Manuel Vieru', 'Miroslav Tolj', 'Alin Popa', 'Ion Gheorghe', 'Nicolae Gheorghe', 'Marcela Codrea']",['Comedy'],en,"14 years after making a film about his journey across the USA, Borat risks life and limb when he returns to the United States with his young daughter, and reveals more about the culture, the COVID-19 pandemic, and the political elections.",6.44,2651,5.369
Bottoms,,bottoms,5,814776.0,Bottoms,2023-08-25,['Emma Seligman'],"['Rachel Sennott', 'Ayo Edebiri', 'Ruby Cruz', 'Havana Rose Liu', 'Kaia Gerber', 'Nicholas Galitzine', 'Miles Fowler', 'Marshawn Lynch', 'Dagmara Dominczyk', 'Punkie Johnson']",['Comedy'],en,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,6.8,713,4.2307
Boyhood,,boyhood,5,85350.0,Boyhood,2014-06-05,['Richard Linklater'],"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Lorelei Linklater', 'Libby Villari', 'Marco Perella', 'Brad Hawkins', 'Jamie Howard', 'Andrew Villarreal', 'Jenni Tooley']",['Drama'],en,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",7.495,5298,4.75
C'mon C'mon,,cmon cmon,5,632617.0,C'mon C'mon,2021-11-19,['Mike Mills'],"['Joaquin Phoenix', 'Gaby Hoffmann', 'Woody Norman', 'Scoot McNairy', 'Molly Webster', 'Jaboukie Young-White', 'Deborah Strang', 'Sunni Patterson', 'Jenny Eliscu', 'Mary Passeri']",['Drama'],en,Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,7.2,716,0.8652
