username,title,year,rating,film_slug,year_clean,title_norm,tmdb_id
jaragon23,Aquaman and the Lost Kingdom,2023,5,aquaman-and-the-lost-kingdom,,aquamanandthelostkingdom,572802
jaragon23,Anyone But You,2023,5,anyone-but-you,,anyonebutyou,1072790
jaragon23,Rebel Moon – Part One: A Child of Fire,2023,4,rebel-moon-part-one-a-child-of-fire,,rebelmoon–partoneachildoffire,848326
jaragon23,Silent Night,2023,4,silent-night-2023-1,,silentnight,891699
jaragon23,Wonka,2023,7,wonka,,wonka,787699
jaragon23,The Color Purple,2023,7,the-color-purple-2023,2023.0,thecolorpurple,558915
jaragon23,Leo,2023,5,leo-2023,2023.0,leo,1075794
jaragon23,Napoleon,2023,5,napoleon-2023,2023.0,napoleon,753342
jaragon23,The Iron Claw,2023,8,the-iron-claw-2023,2023.0,theironclaw,850165
jaragon23,The Marvels,2023,5,the-marvels,,themarvels,609681
jaragon23,The Hunger Games: The Ballad of Songbirds & Snakes,2023,7,the-hunger-games-the-ballad-of-songbirds-snakes,,thehungergamestheballadofsongbirds&snakes,695721
jaragon23,Thanksgiving,2023,8,thanksgiving-2023,2023.0,thanksgiving,1071215
jaragon23,Godzilla Minus One,2023,8,godzilla-minus-one,,godzillaminusone,940721
jaragon23,Five Nights at Freddy's,2023,3,five-nights-at-freddys,,fivenightsatfreddys,507089
jaragon23,Chicken Run: Dawn of the Nugget,2023,6,chicken-run-dawn-of-the-nugget,,chickenrundawnofthenugget,520758
jaragon23,Taylor Swift: The Eras Tour,2023,10,taylor-swift-the-eras-tour,,taylorswifttheerastour,1160164
jaragon23,The Exorcist: Believer,2023,4,the-exorcist-believer,,theexorcistbeliever,807172
jaragon23,"Red, White and Blue",2023,6,red-white-and-blue-2023,2023.0,"red,whiteandblue",755232
jaragon23,Totally Killer,2023,5,totally-killer,,totallykiller,974931
jaragon23,Saw X,2023,7,saw-x,,sawx,951491
jaragon23,Strange Darling,2024,8,strange-darling,,strangedarling,1029281
jaragon23,No One Will Save You,2023,7,no-one-will-save-you,,noonewillsaveyou,820609
jaragon23,The Creator,2023,6,the-creator-2023,2023.0,thecreator,670292
jaragon23,When Evil Lurks,2023,8,when-evil-lurks,,whenevillurks,744857
jaragon23,Pain Hustlers,2023,4,pain-hustlers,,painhustlers,862968
jaragon23,Sing Sing,2023,10,sing-sing-2023,2023.0,singsing,1155828
jaragon23,Society of the Snow,2023,8,society-of-the-snow,,societyofthesnow,906126
jaragon23,Dream Scenario,2023,7,dream-scenario,,dreamscenario,823482
jaragon23,Woman of the Hour,2024,8,woman-of-the-hour,,womanofthehour,835113
jaragon23,Dumb Money,2023,6,dumb-money,,dumbmoney,792293
jaragon23,American Fiction,2023,8,american-fiction,,americanfiction,1056360
jaragon23,Kill,2011,8,kill-2023-1,,kill,100516
jaragon23,The Nun II,2023,4,the-nun-ii,,thenunii,968051
jaragon23,Hit Man,2023,8,hit-man-2023,2023.0,hitman,974635
jaragon23,Priscilla,2023,8,priscilla,,priscilla,1020006
jaragon23,The Killer,2023,8,the-killer-2023,2023.0,thekiller,800158
