title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity,directors_main,directors_other,cast_main,cast_other
Brother,2000.0,brother,6,327.0,Brother,2000-12-13,['Takeshi Kitano'],"['Takeshi Kitano', 'Omar Epps', 'Claude Maki', 'Susumu Terajima', 'Masaya Katō', 'Royale Watkins', 'Lombardo Boyar', 'Ryo Ishibashi', 'James Shigeta', 'Tatyana Ali']","['Crime', 'Drama', 'Thriller']",ja,"A Japanese Yakuza gangster's deadly existence in his homeland gets him exiled to Los Angeles, where he is taken in by his little brother and his brother's gang.",7.099,492,1.7911,['Takeshi Kitano'],[],"['Takeshi Kitano', 'Omar Epps', 'Susumu Terajima', 'Masaya Katō', 'Lombardo Boyar', 'Ryo Ishibashi', 'James Shigeta', 'Tatyana Ali']","['Claude Maki', 'Royale Watkins']"
Bulletproof,1988.0,bulletproof,6,87533.0,Bulletproof,1988-04-20,['Steve Carver'],"['Gary Busey', 'Darlanne Fluegel', 'Henry Silva', 'Thalmus Rasulala', 'L.Q. Jones', 'René Enríquez', 'Mills Watson', 'James Andronica', 'R.G. Armstrong', 'William Smith']","['Action', 'Thriller']",en,A group of dangerous terrorists succeeds to get hold of a tank of the army and all its crew.,5.0,36,0.1538,['Steve Carver'],[],"['Gary Busey', 'Darlanne Fluegel', 'Henry Silva', 'Thalmus Rasulala', 'L.Q. Jones', 'R.G. Armstrong', 'William Smith']","['René Enríquez', 'Mills Watson', 'James Andronica']"
Butterfly Kiss,,butterfly kiss,6,480733.0,Butterfly Kisses,2018-10-23,['Erik Kristopher Myers'],"['Seth Adam Kallick', 'Rachel Armiger', 'Reed Delisle', 'Matt Lake', 'Eileen Del Valle', 'Janise Whelan', 'Michael Whelan', 'David Sterritt', 'Steve Yeager', 'Andy Wardlaw']","['Horror', 'Mystery', 'Drama']",en,"A filmmaker discovers a box of video tapes depicting two students' disturbing film project featuring a local horror legend, The Peeping Tom. As he sets out to prove this story is real and release it as a work of his own, he loses himself and the film crew following him into his project.",5.831,86,0.3281,[],['Erik Kristopher Myers'],[],"['Seth Adam Kallick', 'Rachel Armiger', 'Reed Delisle', 'Matt Lake', 'Eileen Del Valle', 'Janise Whelan', 'Michael Whelan', 'David Sterritt', 'Steve Yeager', 'Andy Wardlaw']"
Cabaret,1993.0,cabaret,6,215768.0,Cabaret,1993-12-09,['Sam Mendes'],"['Alan Cumming', 'Jane Horrocks', 'Sara Kestelman', 'Adam Godley', 'George Raistrick', 'Charlotte Medcalf', 'Michael Gardiner', 'Loveday Smith', 'Charlotte Storey', 'Jane Karen']","['Romance', 'Music', 'Drama', 'War']",en,"Filmed live from the 1993 revival, Sam Mendes' directorial debut takes place at the Donmar Warehouse in London's West End. Jane Horrocks stars as cabaret girl Sally Bowles, Adam Godley as the bicurious Cliff, and Alan Cumming as the eccentric Emcee. Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally and the impish Emcee sound the clarion call to decadent fun, while outside, a notorious political party grows into a brutal force.",7.719,16,0.8284,['Sam Mendes'],[],"['Alan Cumming', 'Jane Horrocks', 'Adam Godley']","['Sara Kestelman', 'George Raistrick', 'Charlotte Medcalf', 'Michael Gardiner', 'Loveday Smith', 'Charlotte Storey', 'Jane Karen']"
Calamity,1982.0,calamity,6,39878.0,Calamity of Snakes,1982-06-26,['William Cheung Kei'],"['Kao Yuen', 'Lo Pi-Ling', 'Wei Ping-ao', 'Ou-Yang Sha-Fei', 'Chou Chung-Lien', 'Lee Ying', 'Sam Yan-Chi', 'Lo Toi-Lan', 'Ng Yin', 'Hsiang Yun-Peng']",['Horror'],zh,"During the construction of luxury apartment buildings a huge nest of thousands of snakes is discovered. Francis Chang (the boss) refuses to delay the construction and orders to kill all the animals. He is repeated warned by his wife, who had some nightmares concerning him and the snakes. They do not manage to kill all snakes and so they take revenge on the construction workers and Francis Chang. Soon thousands of killer snakes under the lead of a giant Boa invades the building an kill all the new inhabitants. Even a snake master can't stop them.",4.6,8,0.4728,[],['William Cheung Kei'],"['Wei Ping-ao', 'Ou-Yang Sha-Fei']","['Kao Yuen', 'Lo Pi-Ling', 'Chou Chung-Lien', 'Lee Ying', 'Sam Yan-Chi', 'Lo Toi-Lan', 'Ng Yin', 'Hsiang Yun-Peng']"
Caught in the Net,2020.0,caught in net,6,599876.0,Caught in the Net,2020-02-27,"['Vít Klusák', 'Barbora Chalupová']","['Sabina Dlouhá', 'Anežka Pithartová', 'Tereza Těžká']",['Documentary'],cs,"Everyone knows something like this is happening. But this is the only experiment to fully demonstrate what excessive openness on the internet means. The filmmaking couple hired youthful-looking (but over 18) actresses to pretend to be prepubescent girls and communicate with strangers who approached them based on their fake accounts. They attracted dozens of men in the first ten days, then hundreds, and finally thousands...",7.956,45,0.4445,[],"['Vít Klusák', 'Barbora Chalupová']",[],"['Sabina Dlouhá', 'Anežka Pithartová', 'Tereza Těžká']"
Chains,1949.0,chains,6,132122.0,Chains,1949-10-29,['Raffaello Matarazzo'],"['Amedeo Nazzari', 'Yvonne Sanson', 'Aldo Nicodemi', 'Roberto Murolo', 'Aldo Silvani', 'Teresa Franchini', 'Gianfranco Magalotti', 'Rosalia Randazzo', 'Nino Marchesini', 'Lilly Marchi']","['Crime', 'Drama']",it,A family drama involving a wife torn between her husband and her criminal ex-lover.,6.4,25,0.3709,['Raffaello Matarazzo'],[],"['Amedeo Nazzari', 'Yvonne Sanson']","['Aldo Nicodemi', 'Roberto Murolo', 'Aldo Silvani', 'Teresa Franchini', 'Gianfranco Magalotti', 'Rosalia Randazzo', 'Nino Marchesini', 'Lilly Marchi']"
Cheaper by the Dozen,,cheaper by dozen,6,691683.0,Cheaper by the Dozen,2022-03-18,['Gail Lerner'],"['Gabrielle Union', 'Zach Braff', 'Erika Christensen', 'Timon Kyle Durrett', 'Journee Brown', 'Andre Robinson', 'Caylee Blosenski', 'Aryan Simhadri', 'Leo Abelo Perry', 'Mykal-Michelle Harris']","['Family', 'Comedy']",en,"This remake of the beloved classic follows the raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business.",6.384,255,1.7597,[],['Gail Lerner'],"['Gabrielle Union', 'Zach Braff', 'Erika Christensen']","['Timon Kyle Durrett', 'Journee Brown', 'Andre Robinson', 'Caylee Blosenski', 'Aryan Simhadri', 'Leo Abelo Perry', 'Mykal-Michelle Harris']"
Cheeky,2000.0,cheeky,6,22705.0,Cheeky,2000-01-28,['Tinto Brass'],"['Yuliya Mayarchuk', 'Jarno Berardi', 'Francesca Nunzi', 'Mauro Lorenz', 'Leila Carli', 'Vittorio Attene', 'Remo Pizzaroni', 'Max Parodi', 'Tinto Brass', 'Osiride Pevarello']","['Comedy', 'Drama', 'Romance']",it,"While scouting out apartments in London for her Venetian boyfriend, Carla rents an apartment overlooking the Thames. There, she meets a real estate agent by the name of Moira.",5.7,268,16.3472,['Tinto Brass'],[],[],"['Yuliya Mayarchuk', 'Jarno Berardi', 'Francesca Nunzi', 'Mauro Lorenz', 'Leila Carli', 'Vittorio Attene', 'Remo Pizzaroni', 'Max Parodi', 'Tinto Brass', 'Osiride Pevarello']"
City of Gold,2015.0,city of gold,6,317954.0,City of Gold,2016-03-11,['Laura Gabbert'],"['Jonathan Gold', 'Lauren Ochoa', 'David Chang', 'Ludovic Lefebvre', 'Ruth Reichl', 'Roy Choi', 'Peter Meehan']",['Documentary'],en,"As the unabashed cradle of Hollywood superficiality and smoggy urban sprawl, Los Angeles has long been condemned as a cultural wasteland. In the richly penetrating documentary odyssey City of Gold, Pulitzer Prize-winning food critic Jonathan Gold shows us another Los Angeles, where ethnic cooking is a kaleidoscopic portal to the mysteries of an unwieldy city and the soul of America.",6.283,30,0.2326,[],['Laura Gabbert'],[],"['Jonathan Gold', 'Lauren Ochoa', 'David Chang', 'Ludovic Lefebvre', 'Ruth Reichl', 'Roy Choi', 'Peter Meehan']"
