input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue,directors_other,cast_other,keywords_other
The Conjuring: The Devil Made Me Do It,Unknown,True,423108,The Conjuring: The Devil Made Me Do It,2021-05-25,111.0,Horror; Mystery; Thriller,Michael Chaves,Patrick Wilson; Vera Farmiga; Julian Hilliard; Sterling Jerins,supernatural; exorcism; connecticut; sequel; paranormal investigation; 1980s; somber; religious horror; the conjuring universe; frightened,New Line Cinema; The Safran Company; Atomic Monster,en,39000000.0,206431050.0,,Ruairí O'Connor; Sarah Catherine Hook; Charlene Amoia; John Noble; Eugenie Bondurant; Shannon Kook,
The Creator,2023.0,True,670292,The Creator,2023-09-27,134.0,Science Fiction; Action; Adventure,Gareth Edwards,John David Washington; Gemma Chan; Allison Janney; Ken Watanabe; Ralph Ineson,artificial intelligence (a.i.); asia; robot; space station; kids; ex special forces; missing wife; near future,New Regency Pictures; Entertainment One; Regency Enterprises; Bad Dreams Productions,en,80000000.0,104272136.0,,Madeleine Yuna Voyles; Sturgill Simpson; Amar Chadha-Patel; Marc Menchaca; Robbie Tann,war against machines
The Cranes Are Flying,Unknown,True,38360,The Cranes Are Flying,1957-10-12,97.0,Drama; Romance; War,,,"world war ii; siege; lovers; battlefield; black and white; couple; anti war; moscow, russia",Mosfilm,ru,0.0,0.0,Mikhail Kalatozov,Tatyana Samoylova; Aleksey Batalov; Vasili Merkuryev; Aleksandr Shvorin; Svetlana Kharitonova; Konstantin Kadochnikov; Valentin Zubkov; Antonina Bogdanova; Boris Kokovkin; Ekaterina Kupriyanova,marriage of convenience; wounded; air raid; loveless marriage; life during wartime; heartache; bomb shelter; returning hero
The Conversation,Unknown,True,592,The Conversation,1974-04-07,114.0,Crime; Drama; Mystery,Francis Ford Coppola,Gene Hackman; Frederic Forrest; Teri Garr; Harrison Ford,"shadowing; san francisco, california; technology; spy; audio tape; paranoia; wiretap; saxophone; conspiracy; tragic event; surveillance; voyeurism",The Directors Company; The Coppola Company,en,1600000.0,4794457.0,,John Cazale; Allen Garfield; Cindy Williams; Michael Higgins; Elizabeth MacRae; Mark Wheeler,
The Croods,Unknown,True,49519,The Croods,2013-03-15,98.0,Animation; Adventure; Family; Fantasy; Comedy; Action,Kirk DeMicco; Chris Sanders,Nicolas Cage; Emma Stone; Ryan Reynolds; Catherine Keener; Cloris Leachman; Clark Duke; Chris Sanders,daughter; parent child relationship; stone age; father; prehistory; ancient world; family; cavemen; aftercreditsstinger; duringcreditsstinger; pets,DreamWorks Animation,en,135000000.0,587204668.0,,Randy Thom,
The Cremator,Unknown,True,775517,The Cremator,,30.0,,,Unknown,Unknown,,en,0.0,0.0,Nishon Shakya,,
"The Cook, the Thief, His Wife & Her Lover",Unknown,True,7452,"The Cook, the Thief, His Wife & Her Lover",1989-10-13,124.0,Crime; Drama,,Michael Gambon; Helen Mirren; Tim Roth; Ciarán Hinds,sadism; sexuality; allegory; cooking; restaurant; crime boss; satire; surrealism; sociopath; murder; brutality; avant-garde; public humiliation; stray dog; abusive husband; french cuisine; adulterous wife; cannibalism; violence,Allarts; Elsevier-Vendex Film Beheer; Allarts Cook; Erato Films; Film4 Productions; Erbograph Co.,en,2300000.0,7724701.0,Peter Greenaway,Richard Bohringer; Alan Howard; Liz Smith; Gary Olsen; Ewan Stewart; Roger Ashton-Griffiths,
The Crow,2024.0,True,957452,The Crow,2024-08-21,111.0,Action; Fantasy; Horror,Rupert Sanders,Bill Skarsgård; Danny Huston,husband wife relationship; soulmates; superhero; crow; based on comic; remake; revenge; murder; back from the dead; death; true love; mysterious; dark romance; re-imagining; gloomy,Davis Films; Pressman Film; Hassell Free Productions; Electric Shadow Company; 30WEST; Ashland Hill Media Finance; FilmNation Entertainment; Maze Pictures; Occupant Entertainment,en,50000000.0,24109036.0,,FKA twigs; Josette Simon; Laura Birn; Sami Bouajila; Karel Dobrý; Jordan Bolger; Sebastian Orozco; David Bowles,awakening
The Crow,Unknown,True,957452,The Crow,2024-08-21,111.0,Action; Fantasy; Horror,Rupert Sanders,Bill Skarsgård; Danny Huston,husband wife relationship; soulmates; superhero; crow; based on comic; remake; revenge; murder; back from the dead; death; true love; mysterious; dark romance; re-imagining; gloomy,Davis Films; Pressman Film; Hassell Free Productions; Electric Shadow Company; 30WEST; Ashland Hill Media Finance; FilmNation Entertainment; Maze Pictures; Occupant Entertainment,en,50000000.0,24109036.0,,FKA twigs; Josette Simon; Laura Birn; Sami Bouajila; Karel Dobrý; Jordan Bolger; Sebastian Orozco; David Bowles,awakening
The Croods: A New Age,Unknown,True,529203,The Croods: A New Age,2020-11-25,95.0,Animation; Family; Adventure; Fantasy; Comedy,,Nicolas Cage; Emma Stone; Ryan Reynolds; Catherine Keener; Cloris Leachman; Clark Duke; Leslie Mann; Peter Dinklage,sequel; prehistory; aftercreditsstinger; duringcreditsstinger; candid; playful; joyous; admiring; adoring,Universal Pictures; DreamWorks Animation,en,65000000.0,215905815.0,Joel Crawford,Kelly Marie Tran; Kailey Crawford,
The Crowd,Unknown,True,3061,The Crowd,1928-03-03,98.0,Drama; Romance,,,new york city; marriage; tragedy; silent film,Metro-Goldwyn-Mayer,en,0.0,0.0,King Vidor,Eleanor Boardman; James Murray; Bert Roach; Estelle Clark; Daniel G. Tomlinson; Dell Henderson; Lucy Beaumont; Freddie Burke Frederick; Alice Mildred Puter; John D. Bloss,
The Crucible,Unknown,True,513532,The Crucible,1967-05-04,120.0,Drama; TV Movie,,George C. Scott; Henry Jones,"based on play or musical; salem, massachusetts; 17th century",,en,0.0,0.0,Alex Segal,Colleen Dewhurst; Fritz Weaver; Cathleen Nesbitt; Will Geer; Tuesday Weld; Melvyn Douglas; Paula Bauersmith; Clarice Blackburn,salem witch trials
The Curious Case of Benjamin Button,Unknown,True,4922,The Curious Case of Benjamin Button,2008-12-25,166.0,Drama; Fantasy; Romance,David Fincher,Brad Pitt; Cate Blanchett; Taraji P. Henson; Julia Ormond; Jason Flemyng; Mahershala Ali; Jared Harris; Elias Koteas; Tilda Swinton,new york city; navy; funeral; diary; tea; travel; hospital; historical fiction; period drama; magic realism; based on short story; fictional biography; introspective; serene; intense,Paramount Pictures; Warner Bros. Pictures; The Kennedy/Marshall Company,en,150000000.0,335802786.0,,Phyllis Somerville,reverse aging
The Crying Game,Unknown,True,11386,The Crying Game,1992-09-02,112.0,Crime; Drama; Thriller,Neil Jordan,Stephen Rea; Miranda Richardson; Forest Whitaker; Jim Broadbent,love of one's life; transsexuality; hostage; northern ireland; teenage crush; soldier; ira (irish republican army); gender dysphoria; cautionary; transgender; critical; disheartening; distressing; hopeful; optimistic; sympathetic,Palace Pictures; Nippon Film Development and Finance Inc.; Eurotrustees; Channel Four Films,en,3705538.0,62548947.0,,Jaye Davidson; Adrian Dunbar; Breffni McKenna; Joe Savino; Birdy Sweeney; Andrée Bernard,political unrest; lqbtq
The Covenant,Unknown,True,9954,The Covenant,2006-09-07,97.0,Fantasy; Horror; Adventure; Action,Renny Harlin,Sebastian Stan; Taylor Kitsch; Jessica Lucas; Kenneth Welsh; Wendy Crewson,witch; magic; spider; college; haunting; male friendship; inheritance; super power; warlock; intense; powerful; vibrant,Screen Gems; Lakeshore Entertainment; Sandstorm Films,en,20000000.0,37597471.0,,Steven Strait; Laura Ramsey; Toby Hemingway; Chace Crawford; Kyle Schmid,swimming team
The Curse of La Llorona,Unknown,True,480414,The Curse of La Llorona,2019-04-17,93.0,Horror,Michael Chaves,Linda Cardellini; Patricia Velásquez,"mexico; 1970s; supernatural; priest; los angeles, california; folklore; supernatural horror; horror",Atomic Monster; New Line Cinema; Emile Gladstone Productions,en,9000000.0,123233739.0,,Raymond Cruz; Roman Christou; Jaynee-Lynne Kinchen; Marisol Ramirez; Sean Patrick Thomas; Tony Amendola; Oliver Alexander; Aiden Lewandowski,mexican folklore
The Cursed,2021.0,True,630392,The Cursed,2021-07-28,111.0,Horror; Drama; Thriller,,Boyd Holbrook; Kelly Reilly,gypsy; world war i; gore; flashback; werewolf; creature; church; 1800s,Piste Rouge; LD Entertainment,en,0.0,4588389.0,Sean Ellis,Alistair Petrie; Roxane Duran; Nigel Betts; Stuart Bowman; Simon Kunz; Amelia Crouch; Max Mackintosh; Tommy Rodger,pathologist; silver bullet
