title,year,clean_title,appearance_count
The Lego Batman Movie,,lego batman movie,5
The Nightmare Before Christmas,,nightmare before christmas,5
The Northman,,northman,5
The Princess Bride,,princess bride,5
The Revenant,2015.0,revenant,5
The Royal Tenenbaums,,royal tenenbaums,5
The Sixth Sense,,sixth sense,5
The Suicide Squad,,suicide squad,5
The Super Mario Bros. Movie,,super mario bros movie,5
The Swan,2023.0,swan,5
The Texas Chain Saw Massacre,,texas chain saw massacre,5
The Whale,2022.0,whale,5
The Wild Robot,,wild robot,5
The Witch,2015.0,witch,5
The Wolf of Wall Street,,wolf of wall street,5
The Worst Person in the World,,worst person in world,5
There Will Be Blood,,there will be blood,5
Thor,,thor,5
Thor: The Dark World,,thor dark world,5
Titanic,1997.0,titanic,5
Top Gun,,top gun,5
Toy Story,,toy story,5
Toy Story 2,,toy story 2,5
Toy Story 3,,toy story 3,5
Trainspotting,,trainspotting,5
Triangle of Sadness,,triangle of sadness,5
Turning Red,,turning red,5
Twilight,2008.0,twilight,5
TÁR,2022.0,tr,5
Venom,2018.0,venom,5
Vertigo,,vertigo,5
WALL·E,,walle,5
Wallace & Gromit: Vengeance Most Fowl,,wallace gromit vengeance most fowl,5
WandaVision,,wandavision,5
What We Do in the Shadows,,what we do in shadows,5
When Harry Met Sally...,,when harry met sally,5
Wicked,2024.0,wicked,5
X,2022.0,x,5
X-Men: Days of Future Past,,xmen days of future past,5
Y Tu Mamá También,,y tu mam tambin,5
Zodiac,,zodiac,5
"tick, tick... BOOM!",2021.0,tick tick boom,5
