username,title,year,rating,film_slug
schaffrillas,Harry Potter 20th Anniversary: Return to Hogwarts,,7.0,harry-potter-20th-anniversary-return-to-hogwarts
schaffrillas,Hilda and the Mountain King,,7.0,hilda-and-the-mountain-king
schaffrillas,The Book of Boba Fett,,5.0,the-book-of-boba-fett
schaffrillas,Spider-Man: No Way Home,,8.0,spider-man-no-way-home
schaffrillas,Don't Look Up,2021.0,3.0,dont-look-up-2021
schaffrillas,Diary of a Wimpy Kid,2021.0,3.0,diary-of-a-wimpy-kid-2021
schaffrillas,West Side Story,2021.0,7.0,west-side-story-2021
schaffrillas,Hawkeye,2021.0,5.0,hawkeye-2021
schaffrillas,Licorice Pizza,,9.0,licorice-pizza
schaffrillas,Sing 2,,6.0,sing-2
schaffrillas,The Simpsons in Plusaversary,,3.0,the-simpsons-in-plusaversary
schaffrillas,Ciao Alberto,,7.0,ciao-alberto
schaffrillas,Under the Helmet: The Legacy of Boba Fett,,6.0,under-the-helmet-the-legacy-of-boba-fett
schaffrillas,"tick, tick... BOOM!",2021.0,9.0,tick-tick-boom-2021
schaffrillas,Encanto,,9.0,encanto
schaffrillas,New York Ninja,,6.0,new-york-ninja
schaffrillas,The Tragedy of Macbeth,,7.0,the-tragedy-of-macbeth
schaffrillas,C.I.Ape,,2.0,ciape
schaffrillas,Squid Game,,9.0,squid-game
schaffrillas,The Eyes of Tammy Faye,2021.0,7.0,the-eyes-of-tammy-faye-2021
schaffrillas,Dear Evan Hansen,,2.0,dear-evan-hansen
schaffrillas,Komi Can't Communicate,,8.0,komi-cant-communicate
schaffrillas,Last Night in Soho,,4.0,last-night-in-soho
schaffrillas,Marcel the Shell with Shoes On,2021.0,7.0,marcel-the-shell-with-shoes-on-2021
schaffrillas,Spencer,2021.0,6.0,spencer-2021
schaffrillas,Dune,2021.0,9.0,dune-2021
schaffrillas,King Richard,,5.0,king-richard
schaffrillas,Belfast,,3.0,belfast
schaffrillas,C'mon C'mon,,8.0,cmon-cmon
schaffrillas,The Power of the Dog,,6.0,the-power-of-the-dog
schaffrillas,Shang-Chi and the Legend of the Ten Rings,,5.0,shang-chi-and-the-legend-of-the-ten-rings
schaffrillas,PAW Patrol: The Movie,,1.0,paw-patrol-the-movie
schaffrillas,Baby Assassins,,7.0,baby-assassins
schaffrillas,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,,6.0,fate-grand-order-final-singularity-grand-temple-of-time-solomon
schaffrillas,Vivo,,7.0,vivo
schaffrillas,The Green Knight,,7.0,the-green-knight
schaffrillas,Belle,2021.0,9.0,belle-2021
schaffrillas,Pig,2021.0,8.0,pig-2021
schaffrillas,The French Dispatch,,9.0,the-french-dispatch
schaffrillas,Drive My Car,,9.0,drive-my-car
schaffrillas,Space Jam: A New Legacy,,3.0,space-jam-a-new-legacy
schaffrillas,Black Widow,2021.0,6.0,black-widow-2021
schaffrillas,Luca,2021.0,8.0,luca-2021
schaffrillas,Dinosaur Hotel,,4.0,dinosaur-hotel
schaffrillas,Loki,2021.0,6.0,loki-2021
schaffrillas,The Suicide Squad,,9.0,the-suicide-squad
schaffrillas,Pompo the Cinephile,,7.0,pompo-the-cinephile
schaffrillas,Revue Starlight: The Movie,,6.0,revue-starlight-the-movie
schaffrillas,In the Heights,,7.0,in-the-heights
schaffrillas,Bo Burnham: Inside,,10.0,bo-burnham-inside
schaffrillas,The Mitchells vs. the Machines,,8.0,the-mitchells-vs-the-machines
schaffrillas,The Gingerweed Man,,1.0,the-gingerweed-man
schaffrillas,The Falcon and the Winter Soldier,,6.0,the-falcon-and-the-winter-soldier
schaffrillas,Nobody,2021.0,6.0,nobody-2021
schaffrillas,Raya and the Last Dragon,,4.0,raya-and-the-last-dragon
schaffrillas,Chaos Walking,,3.0,chaos-walking
schaffrillas,Judas and the Black Messiah,,9.0,judas-and-the-black-messiah
schaffrillas,Passing,2021.0,6.0,passing-2021
schaffrillas,Strawberry Mansion,,7.0,strawberry-mansion
schaffrillas,CODA,2021.0,9.0,coda-2021
schaffrillas,Flee,2021.0,7.0,flee-2021
schaffrillas,Wish Dragon,,6.0,wish-dragon
schaffrillas,WandaVision,,7.0,wandavision
schaffrillas,SK8 the Infinity,,7.0,sk8-the-infinity
schaffrillas,Ratatouille: The TikTok Musical,,,ratatouille-the-tiktok-musical
schaffrillas,Burrow,,7.0,burrow
schaffrillas,Wonder Woman 1984,1984.0,3.0,wonder-woman-1984
schaffrillas,The Croods: A New Age,,7.0,the-croods-a-new-age
schaffrillas,Ma Rainey's Black Bottom,,8.0,ma-raineys-black-bottom
schaffrillas,LEGO Star Wars Holiday Special,,6.0,lego-star-wars-holiday-special
schaffrillas,Mank,,7.0,mank
schaffrillas,Borat Subsequent Moviefilm,,8.0,borat-subsequent-moviefilm
schaffrillas,Once Upon a Snowman,,4.0,once-upon-a-snowman
schaffrillas,Earwig and the Witch,,2.0,earwig-and-the-witch
schaffrillas,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,9.0,demon-slayer-kimetsu-no-yaiba-the-movie-mugen
schaffrillas,Soul,2020.0,8.0,soul-2020
schaffrillas,Hubie Halloween,,2.0,hubie-halloween
schaffrillas,Konga TNT,,1.0,konga-tnt
schaffrillas,The Match-Stick Flame,,6.0,the-match-stick-flame
schaffrillas,The Trial of the Chicago 7,,8.0,the-trial-of-the-chicago-7
schaffrillas,Wolfwalkers,,8.0,wolfwalkers
schaffrillas,Nomadland,,7.0,nomadland
schaffrillas,I'm Thinking of Ending Things,,10.0,im-thinking-of-ending-things
schaffrillas,The War with Grandpa,,3.0,the-war-with-grandpa
schaffrillas,Sky Sharks,,3.0,sky-sharks
schaffrillas,Phineas and Ferb the Movie: Candace Against the Universe,,8.0,phineas-and-ferb-the-movie-candace-against
schaffrillas,Tenet,,5.0,tenet
schaffrillas,Fate/stay night: Heaven's Feel III. Spring Song,,7.0,fate-stay-night-heavens-feel-iii-spring-song
schaffrillas,The SpongeBob Movie: Sponge on the Run,,5.0,the-spongebob-movie-sponge-on-the-run
schaffrillas,Hamilton,2020.0,1.0,hamilton-2020
schaffrillas,Into the Unknown: Making Frozen II,,8.0,into-the-unknown-making-frozen-ii
schaffrillas,Beyond the Infinite Two Minutes,,9.0,beyond-the-infinite-two-minutes
schaffrillas,Artemis Fowl,,1.0,artemis-fowl
schaffrillas,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,,9.0,unbreakable-kimmy-schmidt-kimmy-vs-the-reverend
schaffrillas,Kakushigoto,,8.0,kakushigoto
schaffrillas,Smiling Friends,,8.0,smiling-friends
schaffrillas,Shiva Baby,2020.0,7.0,shiva-baby-2020
schaffrillas,Trolls World Tour,,3.0,trolls-world-tour
schaffrillas,Mulan,2020.0,1.0,mulan-2020
schaffrillas,Ouija Shark,,2.0,ouija-shark
schaffrillas,Taylor Tomlinson: Quarter-Life Crisis,,8.0,taylor-tomlinson-quarter-life-crisis
schaffrillas,"Maggie Simpson in ""Playdate with Destiny""",,7.0,maggie-simpson-in-playdate-with-destiny
schaffrillas,Anastasia: Once Upon a Time,,2.0,anastasia-once-upon-a-time
schaffrillas,Onward,2020.0,5.0,onward-2020
schaffrillas,The Father,2020.0,8.0,the-father-2020
schaffrillas,Feels Good Man,,10.0,feels-good-man
schaffrillas,Minari,,9.0,minari
schaffrillas,Palm Springs,2020.0,8.0,palm-springs-2020
schaffrillas,Promising Young Woman,,4.0,promising-young-woman
schaffrillas,Sonic the Hedgehog,,6.0,sonic-the-hedgehog
schaffrillas,Never Rarely Sometimes Always,,9.0,never-rarely-sometimes-always
schaffrillas,Keep Your Hands Off Eizouken!,2020.0,7.0,keep-your-hands-off-eizouken-2020
schaffrillas,Cats,2019.0,2.0,cats-2019
schaffrillas,Star Wars: The Rise of Skywalker,,2.0,star-wars-the-rise-of-skywalker
schaffrillas,The SpongeBob Musical: Live on Stage!,,7.0,the-spongebob-musical-live-on-stage
schaffrillas,Little Women,2019.0,10.0,little-women-2019
schaffrillas,Spies in Disguise,,7.0,spies-in-disguise
schaffrillas,1917,,8.0,1917
schaffrillas,Frozen II,,5.0,frozen-2
schaffrillas,Klaus,,8.0,klaus
schaffrillas,Terminator: Dark Fate,,5.0,terminator-dark-fate
schaffrillas,El Camino: A Breaking Bad Movie,,7.0,el-camino-a-breaking-bad-movie
schaffrillas,The Irishman,2019.0,7.0,the-irishman-2019
schaffrillas,Tall Girl,,,tall-girl
schaffrillas,Undone,2019.0,7.0,undone-2019
schaffrillas,Jojo Rabbit,,10.0,jojo-rabbit
schaffrillas,Color Out of Space,,7.0,color-out-of-space
schaffrillas,Abominable,2019.0,6.0,abominable-2019
schaffrillas,Knives Out,2019.0,10.0,knives-out-2019
schaffrillas,Dolemite Is My Name,,8.0,dolemite-is-my-name
schaffrillas,Sound of Metal,,6.0,sound-of-metal
schaffrillas,Joker,2019.0,7.0,joker-2019
schaffrillas,Uncut Gems,,9.0,uncut-gems
schaffrillas,Ford v Ferrari,,8.0,ford-v-ferrari
schaffrillas,Marriage Story,2019.0,10.0,marriage-story-2019
schaffrillas,Steven Universe: The Movie,,7.0,steven-universe-the-movie
schaffrillas,Hair Love,,9.0,hair-love
schaffrillas,The Angry Birds Movie 2,,7.0,the-angry-birds-movie-2
schaffrillas,Bad CGI Sharks,,3.0,bad-cgi-sharks
schaffrillas,Ne Zha,,7.0,ne-zha
schaffrillas,Howl from Beyond the Fog,,6.0,howl-from-beyond-the-fog
schaffrillas,The Lion King,2019.0,2.0,the-lion-king-2019
schaffrillas,Spider-Man: Far From Home,,9.0,spider-man-far-from-home
schaffrillas,Toy Story 4,,8.0,toy-story-4
schaffrillas,Ride Your Wave,,6.0,ride-your-wave
schaffrillas,Away,2019.0,6.0,away-2019
schaffrillas,Miranda Sings Live... Your Welcome,,1.0,miranda-sings-live-your-welcome
schaffrillas,Murder Mystery,,6.0,murder-mystery
schaffrillas,Parasite,2019.0,9.0,parasite-2019
schaffrillas,Once Upon a Time... in Hollywood,,7.0,once-upon-a-time-in-hollywood
schaffrillas,Portrait of a Lady on Fire,,9.0,portrait-of-a-lady-on-fire
schaffrillas,The Lighthouse,2019.0,10.0,the-lighthouse-2019
schaffrillas,The Secret Life of Pets 2,,2.0,the-secret-life-of-pets-2
schaffrillas,I Lost My Body,,7.0,i-lost-my-body
schaffrillas,Rocketman,2019.0,7.0,rocketman-2019
schaffrillas,John Wick: Chapter 3 – Parabellum,,8.0,john-wick-chapter-3-parabellum
schaffrillas,Aladdin,2019.0,5.0,aladdin-2019
schaffrillas,Pokémon Detective Pikachu,,7.0,pokemon-detective-pikachu
schaffrillas,Tux and Fanny,,8.0,tux-and-fanny
schaffrillas,Avengers: Endgame,,7.0,avengers-endgame
schaffrillas,Shazam!,,9.0,shazam
schaffrillas,Pain and Glory,,6.0,pain-and-glory
schaffrillas,Booksmart,,9.0,booksmart
schaffrillas,The Peanut Butter Falcon,,5.0,the-peanut-butter-falcon
schaffrillas,Us,2019.0,5.0,us-2019
schaffrillas,Captain Marvel,,4.0,captain-marvel
schaffrillas,The Lego Movie 2: The Second Part,,6.0,the-lego-movie-2-the-second-part
schaffrillas,The Farewell,2019.0,6.0,the-farewell-2019
schaffrillas,Fate/stay night: Heaven's Feel II. Lost Butterfly,,7.0,fate-stay-night-heavens-feel-ii-lost-butterfly
schaffrillas,How to Train Your Dragon: The Hidden World,,9.0,how-to-train-your-dragon-the-hidden-world
schaffrillas,Black Mirror: Bandersnatch,,7.0,black-mirror-bandersnatch
schaffrillas,The Guy Who Didn't Like Musicals,,7.0,the-guy-who-didnt-like-musicals
schaffrillas,Spider-Man: Into the Spider-Verse,,10.0,spider-man-into-the-spider-verse
schaffrillas,Shrek Retold,,10.0,shrek-retold
schaffrillas,Bumblebee,,6.0,bumblebee
schaffrillas,The Grinch,,2.0,the-grinch
schaffrillas,Ralph Breaks the Internet,,3.0,ralph-breaks-the-internet
schaffrillas,Lake Michigan Monster,,8.0,lake-michigan-monster
schaffrillas,Bohemian Rhapsody,,5.0,bohemian-rhapsody-the-complete-live-aid-performance
schaffrillas,Goosebumps 2: Haunted Halloween,,5.0,goosebumps-2-haunted-halloween
schaffrillas,The Ballad of Buster Scruggs,,6.0,the-ballad-of-buster-scruggs
schaffrillas,The Favourite,,9.0,the-favourite
schaffrillas,Roma,2018.0,8.0,roma-2018
schaffrillas,First Man,,5.0,first-man
schaffrillas,Little Italy,2018.0,10.0,little-italy-2018
schaffrillas,Revue Starlight,,7.0,revue-starlight
schaffrillas,Mission: Impossible – Fallout,,8.0,mission-impossible-fallout
schaffrillas,Hotel Transylvania 3: Summer Vacation,,4.0,hotel-transylvania-3-summer-vacation
schaffrillas,Ant-Man and the Wasp,,6.0,ant-man-and-the-wasp
schaffrillas,Teen Titans Go! To the Movies,,6.0,teen-titans-go-to-the-movies
schaffrillas,Hoffmaniada,,,hoffmaniada
schaffrillas,Incredibles 2,,6.0,incredibles-2
schaffrillas,Gotti,,10.0,gotti
schaffrillas,Deadpool 2,,7.0,deadpool-2
schaffrillas,BlacKkKlansman,,8.0,blackkklansman
schaffrillas,Solo: A Star Wars Story,,6.0,solo-a-star-wars-story
schaffrillas,The Week Of,,4.0,the-week-of
schaffrillas,Avengers: Infinity War,,9.0,avengers-infinity-war
schaffrillas,Howard,2018.0,8.0,howard-2018
schaffrillas,Jesus Christ Superstar Live in Concert,,8.0,jesus-christ-superstar-live-in-concert
schaffrillas,Ready Player One,,3.0,ready-player-one
schaffrillas,A Quiet Place,2018.0,6.0,a-quiet-place-2018
