username,title,year,rating,film_slug,tmdb_id
kurstboy,The 40 Year Old Virgin,,4,the-40-year-old-virgin,
kurstboy,Sky High,2005.0,2,sky-high-2005,
kurstboy,Wedding Crashers,,5,wedding-crashers,
kurstboy,Charlie and the Chocolate Factory,,6,charlie-and-the-chocolate-factory,
kurstboy,Fantastic Four,2005.0,1,fantastic-four-2005,
kurstboy,Herbie Fully Loaded,,5,herbie-fully-loaded,
kurstboy,The Adventures of Sharkboy and Lavagirl,,2,the-adventures-of-sharkboy-and-lavagirl,
kurstboy,Zathura: A Space Adventure,,7,zathura-a-space-adventure,
kurstboy,Mr. & Mrs. Smith,2005.0,4,mr-mrs-smith-2005,
kurstboy,Batman Begins,,6,batman-begins,
kurstboy,Madagascar,,7,madagascar,
kurstboy,Valiant,,1,valiant,
kurstboy,The Descent,,7,the-descent,
kurstboy,Hitch,2005.0,4,hitch-2005,
kurstboy,Pooh's Heffalump Movie,,2,poohs-heffalump-movie,
kurstboy,The Squid and the Whale,,7,the-squid-and-the-whale,
kurstboy,Me and You and Everyone We Know,,7,me-and-you-and-everyone-we-know,
kurstboy,Meet the Fockers,,7,meet-the-fockers,
kurstboy,The Aviator,,7,the-aviator,
kurstboy,Lemony Snicket's A Series of Unfortunate Events,,6,lemony-snickets-a-series-of-unfortunate-events,
kurstboy,Ocean's Twelve,,4,oceans-twelve,
kurstboy,The Life Aquatic with Steve Zissou,,9,the-life-aquatic-with-steve-zissou,
kurstboy,The SpongeBob SquarePants Movie,,10,the-spongebob-squarepants-movie,
kurstboy,National Treasure,,7,national-treasure,
kurstboy,The Incredibles,,10,the-incredibles,
kurstboy,The Polar Express,,5,the-polar-express,
kurstboy,Sideways,,8,sideways,
kurstboy,Shark Tale,,6,shark-tale,
kurstboy,Howl's Moving Castle,,9,howls-moving-castle,
kurstboy,Mysterious Skin,,10,mysterious-skin,
kurstboy,Eulogy,,5,eulogy,
kurstboy,Collateral,,9,collateral,
kurstboy,Spider-Man 2,,9,spider-man-2,
kurstboy,Garfield,,1,garfield,
kurstboy,The Notebook,,5,the-notebook,
kurstboy,Shrek 2,,5,shrek-2,
kurstboy,Mean Girls,,8,mean-girls,
kurstboy,Ella Enchanted,,4,ella-enchanted,
kurstboy,Kill Bill: Vol. 2,,6,kill-bill-vol-2,
kurstboy,Shaun of the Dead,,9,shaun-of-the-dead,
kurstboy,Eternal Sunshine of the Spotless Mind,,9,eternal-sunshine-of-the-spotless-mind,
kurstboy,Starsky & Hutch,,5,starsky-hutch,
kurstboy,Before Sunset,,10,before-sunset,
kurstboy,Miracle,,7,miracle,
kurstboy,Paranoia Agent,,10,paranoia-agent,
kurstboy,Super Size Me,,5,super-size-me,
